"","Entity","Year","Top_1_pretax"
"1","France",1820,20.4
"2","France",1850,21.6
"3","France",1880,19.1
"4","France",1900,22.050001
"5","France",1910,22.949999
"6","France",1915,19.83
"7","France",1916,22.84
"8","France",1917,22.6
"9","France",1918,20.09
"10","France",1919,20.95
"11","France",1920,20.07
"12","France",1921,19.130001
"13","France",1922,20.94
"14","France",1923,23.27
"15","France",1924,21.58
"16","France",1925,20.960001
"17","France",1926,20.56
"18","France",1927,21.259998
"19","France",1928,21.39
"20","France",1929,20.02
"21","France",1930,17.24
"22","France",1931,16.46
"23","France",1932,16.869999
"24","France",1933,17.66
"25","France",1934,17.640001
"26","France",1935,18.39
"27","France",1936,17.3
"28","France",1937,17.45
"29","France",1938,16.52
"30","France",1939,16.41
"31","France",1940,16.779999
"32","France",1941,16.02
"33","France",1942,14.650001
"34","France",1943,11.83
"35","France",1944,9.98
"36","France",1945,8.47
"37","France",1946,10.43
"38","France",1947,10.71
"39","France",1948,9.91
"40","France",1949,10.27
"41","France",1950,10.34
"42","France",1951,10.7
"43","France",1952,10.96
"44","France",1953,10.84
"45","France",1954,11.05
"46","France",1955,11.26
"47","France",1956,10.96
"48","France",1957,11.2300005
"49","France",1958,10.360001
"50","France",1959,11.22
"51","France",1960,11.46
"52","France",1961,11.57
"53","France",1962,10.94
"54","France",1963,10.73
"55","France",1964,10.84
"56","France",1965,10.94
"57","France",1966,10.73
"58","France",1967,10.71
"59","France",1968,10.16
"60","France",1969,9.9
"61","France",1970,9.660001
"62","France",1971,9.67
"63","France",1972,9.5
"64","France",1973,10.09
"65","France",1974,9.74
"66","France",1975,9.11
"67","France",1976,9.099999
"68","France",1977,8.53
"69","France",1978,8.2699995
"70","France",1979,8.56
"71","France",1980,7.53
"72","France",1981,7.43
"73","France",1982,6.99
"74","France",1983,6.9799995
"75","France",1984,7.0299997
"76","France",1985,7.3700004
"77","France",1986,8.110001
"78","France",1987,8.150001
"79","France",1988,8.34
"80","France",1989,8.95
"81","France",1990,9.01
"82","France",1991,9.099999
"83","France",1992,8.77
"84","France",1993,8.63
"85","France",1994,9.32
"86","France",1995,9.34
"87","France",1996,10.400001
"88","France",1997,10.62
"89","France",1998,11.57
"90","France",1999,11.389999
"91","France",2000,11.31
"92","France",2001,11.46
"93","France",2002,11.2300005
"94","France",2003,11.48
"95","France",2004,11.7
"96","France",2005,11.84
"97","France",2006,11.5199995
"98","France",2007,12.29
"99","France",2008,12.34
"100","France",2009,10.37
"101","France",2010,11
"102","France",2011,11.48
"103","France",2012,10.25
"104","France",2013,9.63
"105","France",2014,9.79
"106","France",2015,10.38
"107","France",2016,10.42
"108","France",2017,10.76
"109","France",2018,11.97
"110","France",2019,11.45
"111","France",2020,11.55
"112","France",2021,12.700001
"113","France",2022,12.07
"114","France",2023,12.13
